laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
8902,-7496,519,-1616
8358,-6927,318,-1790
8648,-5460,1206,-2016
9025,-8816,1451,-777
8359,-3291,678,-1087
8787,-3763,-1,83
8697,-4356,101,-109
8038,-3499,55,-94
8550,-3357,39,-77
8145,-4115,53,-143
8371,-3839,57,-137
8177,-3482,63,-144
7986,-3971,79,-126
7781,-3650,26,-105
7918,-4189,50,-155
7957,-3336,142,-118
8371,-4143,56,-157
7733,-4164,26,-120
8193,-4248,19,-150
8057,-3827,44,-153
6783,-3809,21,-170
8689,-5064,55,-188
7623,-4050,33,-165
7876,-3962,33,-130
7294,-4111,64,-126
6996,-4045,36,-124
8123,-3969,39,-141
7826,-4513,53,-188
7688,-4483,15,-200
8010,-4205,34,-136
7736,-3803,45,-129
8147,-3988,25,-129
7581,-4393,57,-193
8004,-4200,73,-161
7545,-4792,30,-179
7856,-3894,39,-130
8273,-3795,71,-139
6970,-4687,9,-167
7744,-4251,24,-150
8468,-3983,63,-143
8450,-3714,3,-134
8167,-4232,66,-154
7786,-3965,57,-170
8024,-4545,14,-153
7623,-4461,59,-148
8368,-4285,0,-166
8070,-4368,28,-164
7295,-4025,85,-184
7968,-4082,27,-148
7804,-3698,50,-166

SCAN 2 - Right to Left
8191,-5258,50,-166
7732,-2990,58,-104
7170,7,95,-66
7687,1184,112,-71
8025,3163,160,-15
7543,3707,114,18
7269,7015,161,40
7866,1697,9,-46
7174,7040,175,4
7513,1037,94,-34
7640,4736,171,34
6017,3504,130,-9
7161,6344,174,13
7428,1451,113,-38
7706,5248,180,50
7467,4725,163,31
7654,4597,179,-17
6237,2746,151,-9
8480,4166,137,13
7781,4775,168,14
7193,3320,137,-31
7593,4667,196,10
7634,4210,142,-37
7523,3310,137,-10
7089,4164,156,-28
7840,4442,154,28
7915,2278,135,-19
7077,4315,150,-40
7802,4106,133,31
7431,4163,165,13
7764,4835,156,-14
8176,4265,150,18
7875,4795,170,30
7327,4833,184,15
7412,3822,143,21
7285,4345,179,35
7147,4189,173,-12
7244,3824,169,10
8016,3991,163,237
7426,3568,161,10
7472,3389,169,15
7976,3362,140,-19
7630,4105,166,-11
7939,3221,151,30
7520,4181,118,19
8352,4059,162,24
8157,3802,165,16
8350,3689,158,11
8007,4095,83,85
8353,3922,126,-4
8195,3935,127,19
8587,3633,119,19
7950,4194,139,27
8686,3941,176,-3
8461,3
SCAN 3 - Left to Right
672,115,15
8670,3495,112,15
8496,1223,91,-15
8791,-518,55,-104
8761,-2360,15,-147
8625,-3005,55,-157
7880,-4574,42,-187
7839,-4719,23,-194
2330,-4730,-950,-214
8478,-4596,50,-176
8248,-4788,53,-168
8088,-4409,17,-198
7890,-4163,32,-147
8298,-4080,2,-147
8256,-3535,35,-95
8504,-3412,11,-134
7334,-2851,30,-121
8205,-3380,586,-126
7850,-4700,42,-169
7688,-4333,40,-142
8559,-3617,54,-162
8242,-4742,47,-171
7914,-4596,39,-202
7684,-3668,11,-140
7087,-4776,49,-165
8326,-4407,4,-146
7671,-3478,-6,-124
7732,-4200,64,-167
8077,-4576,-14,-157
7549,-4471,21,-162
7509,-4535,47,-154
