laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
8604,-7490,669,-1858
8178,-7307,653,-1930
8964,-5500,888,-1969
9127,-14871,709,-1508
8959,910,732,-1597
9602,-1216,644,-884
8949,1157,24,60
9642,-18,84,-16
10013,183,96,-30
9134,-2706,51,-135
9461,-234,103,-25
9305,-490,63,-81
9149,-1846,70,-81
9233,-158,88,-96
9156,-2917,14,-147
9345,-54,124,-117
8971,-2520,64,-126
8931,134,78,-84
9066,-1299,81,-104
9227,-3277,43,-142
9124,1115,144,-58
8927,-3844,53,-201
8816,1078,135,-56
9780,-1208,94,-124
9295,-3481,50,-179
9428,1328,121,-40
8687,-3827,71,-159
2094,2079,169,-29
9781,-3973,40,-189
9376,1336,103,-71
2009,-1165,63,-105
9422,-2384,65,-139
9192,-882,74,-118
9305,-2552,2,-157
9055,479,79,-94
8983,-2248,55,-116
9563,-1474,55,-123
8756,-113,99,-102
4361,-2200,42,-145
9459,-1356,55,-102
9380,-2087,55,-46
9237,-2588,25,-147
8987,-955,100,-113
9268,-144,55,-118
9123,-2244,87,-135
8913,-2826,68,-166
8942,1135,134,-11
8892,-3092,47,-148
9020,-1397,79,-91
8525,156,144,-86
8957,-2884,66,-141
9026,-2290,70,-140
8972,30,82,-77
9131,-2009,41,-120
8816,567,110,-52
8486,-1217,40,-139
8913,-2367,48,-129
9037,423,125,-73
8163,-1378,67,-134
9134,-1968,78,-115
8287,-973,99,-140
9127,-1890,71,-147
9532,-2300,75,-129
8419,-1794,51,-109
8160,-2144,71,-107
8432,-1607,99,-119
8620,-466,86,-73
8495,-2037,68,-121
8733,-1005,70,-87
8464,-1345,73,-91
8280,-1757,89,-96
9052,-2077,68,-134
8798,-52,70,-111
8038,-758,107,-110
8760,-2397,77,-102
8685,-1162,84,-79
8893,-1423,57,-141
8374,-2419,53,-127
8611,220,79,-117
8724,-481,76,-126
8354,-1458,83,-97
8237,-1749,67,-78
8623,-1136,81,-109
9266,-1705,80,-143
8634,-1266,66,-132
9101,-1301,96,-105
8881,-1055,113,-113
9317,-1713,84,-107
8185,-993,92,-107
8689,-1801,58,-112
9296,-1436,68,-143
8459,-1148,79,-131
8858,-1011,72,-110
8479,-1096,120,-114
8171,-1121,89,-130
8803,-1480,78,-105
8426,-1320,53,-86
8400,-1300,74,-113
8718,-1842,43,-132
8644,-1364,68,-124
8424,-2103,62,-136
9115,-1333,84,-127
8571,-1511,60,-129
8234,-1001,85,-96
8723,-1619,104,-133
9560,-1159,58,-96
8750,-2253,57,-106
8696,-1463,48,-113
8224,-1262,46,-111
8455,-1256,77,-102
8963,-1688,46,-121
8195,-1295,73,-149
8808,-1555,87,-115
8498,-1788,50,-124
9012,-1695,86,-107
8835,-1198,87,-124
9228,-1396,51,-69
8668,-1290,86,-150
8847,-1404,96,-139
8454,-1192,68,-142
9454,-1738,21,-112
8644,-1613,94,-142
8927,-1635,85,-106
8693,-1213,36,-129
8885,-1381,120,-111
8368,-1379,71,-119
8441,-1756,26,-131
8540,-1876,60,-94
8494,-1013,18,-149
9017,-2217,121,-104
9179,-1110,51,-110
8758,-1020,89,-81
8145,-2080,73,-147
8796,-1330,57,-46
