laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
7350,30975,-13702,2721
6621,31195,-4888,1337
7522,32189,-777,973
8035,32250,-53,898
7745,28468,-994,730
8558,23942,524,413
8393,-906,49,-131
8210,2068,140,-34
5604,-1479,37,-43
8470,-700,84,-129
8383,-1487,75,-102
8205,-2060,35,-150
8661,-1529,51,-73
7663,-713,36,-94
7888,-2359,45,-110
7736,-273,80,-71
7926,-2708,45,-154
8805,-294,101,-78
7873,-2931,56,-145
8218,-661,28,-71
7990,-2721,38,-145
8370,-418,-144,-10
7688,-2635,53,-153
8337,-1120,87,-58
8369,-893,90,-119
7590,-876,77,-35
7744,-2853,78,-123
7927,-501,59,-113
7283,-2452,45,-153
8354,218,92,-53
7626,-3189,52,-109
7553,-82,91,-69
7958,-560,87,-90
8185,-1947,65,-114
7737,-1731,87,-109
8624,-2216,42,-132
8562,-2053,65,-119
8366,-1158,74,-70
8022,-392,93,-84
8086,-1725,45,-83
7260,-1811,80,-59
7668,-61,69,-117
7791,-2142,65,-77
8176,-2614,84,-106
7583,-321,64,-95
7563,-705,122,-85
7075,-2391,49,-81
7190,-2083,84,-108
7890,-1189,54,-135
7591,-1218,71,-120
7037,-2342,58,-89
6936,-2251,60,-82
7466,409,92,-68
7273,-1762,59,-129
7779,-1996,58,-134
8030,-2209,53,-138
8327,-1354,106,-80
8642,-1179,61,-56
7956,-2598,33,-147
8732,-456,96,-87
7447,-882,59,-116
7352,-2066,50,-84
8256,-1227,103,-87
7633,-1078,75,-93
7648,-1454,101,-107
7266,-1347,82,-71
8327,-1674,68,-67
7335,-1622,91,-58
6827,-1737,46,-143
7444,-2276,90,-68
6675,-1929,76,-105
7328,-161,91,-92
7456,-2038,76,-70
7432,-2034,59,-79
7891,-777,80,-99
7709,-514,78,-63
7240,-2008,26,-97
6636,-1848,42,-118
7010,-1358,85,-99
6529,-2194,34,-110
7937,-1312,61,-115
6795,-2345,71,-127
7498,-1065,78,-87
8105,-1301,27,-112
7327,-1454,93,-105
7671,-1309,84,-83
7067,-1045,84,-114
7745,-1436,39,-81
7135,-1681,101,-102
855,-1550,57,-75
7829,-1041,100,-83
8518,-1435,78,-117
8032,-857,59,-55
7402,-1264,111,-104
3444,-859,80,-61
7658,-1188,81,-63
7229,-679,65,-48
8063,-1706,91,-90
7638,-1351,68,-68
7347,-1538,72,-88
6530,-1596,71,-87
8352,-1717,72,-102
7218,-1504,82,-94
7350,-1468,51,-57
6967,-1260,93,-101
7355,-1464,81,-89
7578,-1265,57,-110
8659,-2199,43,-112
7598,-1267,78,-81
6657,-1457,54,-101
7453,-1664,94,-84
7507,-904,53,-57
7808,-1504,83,-108
7376,-1889,81,-100
7479,-1377,42,-90
7697,-1524,73,-115
7698,-888,62,-109
7524,-1200,43,-98
7331,-1635,73,-129
44703,-2042,48,-73
7373,-960,78,-85
7022,-2174,89,-111
6401,-1327,87,-134
8233,-1120,100,-70
7190,-1877,33,-53
7155,-937,58,-92
7603,-1827,89,-88
7425,-1176,67,-92
7834,-1935,37,-110
7079,-1376,93,-111
7994,-2262,64,-85
6891,-736,93,-57
7274,-2201,33,-91
7480,-1122,35,-84
