laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
1413,30125,-12176,2348
1791,28357,-5325,1028
2611,31443,-623,1007
2474,32507,-944,988
8082,27830,-582,689
8293,21286,107,396
8092,-3263,65,-66
7955,3026,-394,-53
7399,-6143,-24,-153
8441,-2325,14,-87
8411,-3696,45,-104
8117,-3346,40,-149
6928,2261,129,-60
7316,-5480,34,-190
7901,-146,95,-80
7362,-1970,61,-163
7267,-1620,36,-121
7633,-3252,24,-128
7595,-382,79,-83
7558,-3260,64,-179
7888,163,104,-41
7762,-928,90,-128
6549,-3054,30,-134
2146,-2750,177,-106
2253,-1020,99,-100
3493,-3678,38,-183
1849,-236,125,-41
844,-3869,33,-132
1454,-2658,30,-124
1334,-187,65,-70
1148,-1306,59,-116
1101,-1903,81,-99
1517,-2751,64,-98
2118,-3243,49,-153
2009,-3112,66,-110
1738,-1476,93,-92
2776,-1730,63,-126
2135,-3215,53,-138
2286,-2355,29,-136
1986,-2522,18,-135
1848,-2243,28,-116
2864,-2344,81,-122
1769,-2472,65,-173
2114,-2057,93,-93
1883,-2646,44,-140
1474,-1620,95,-117
2085,-262,89,-86
2590,-1623,98,-94
2747,-1650,34,-96
3242,-1953,39,-127
2498,-2499,77,-125
1661,-2285,45,-123
2119,-2111,-1099,-121
3440,-2316,52,-107
3756,-2152,37,-76
1644,-2838,87,-126
2074,-1424,59,-103
2460,-2861,43,-108
1664,-2273,68,-89
1703,-1868,81,-85
2414,-1977,50,-128
2043,-2189,69,-104
2955,-2324,50,-98
1751,-2815,66,-124
2128,-1253,60,-93
2230,-2505,60,-93
2761,-2396,84,-147
2644,-1816,48,-136
2307,-2612,100,-120
2288,-1908,72,-102
3651,-1366,67,-97
1112,-3275,72,-119
2523,-2490,42,-123
3104,-1945,110,-139
1451,-2299,31,-122
2293,-1739,58,-112
2877,-2915,79,-126
2138,-2230,43,-73
978,-1759,68,-102
1385,-1892,48,-73
1163,-2334,49,-109
1244,-2535,61,-100
996,-2029,290,-48
1688,-2484,875,-115
2357,-1438,69,-108
3222,-2385,76,-144
777,-2640,34,-140
1908,-1896,41,-123
1752,-2504,66,-125
1449,-2082,29,-98
2401,-2110,58,-131
1427,-2227,55,-129
1415,-2411,35,-125
1295,-2106,90,-125
1399,-1632,73,-116
1439,-2824,52,-121
1829,-2122,70,-124
1245,-1735,57,-108
3173,-1944,63,-103
1028,-2570,55,-118
1199,-2042,46,-117
1054,-2749,90,
SCAN 2 - Right to Left
-120
1617,-2084,65,-115
1339,-1160,65,-140
995,-1,103,-80
1613,-250,101,-76
737,650,126,-86
1038,2758,100,-27
1120,863,91,-72
1852,2933,101,-7
1369,-145,76,-49
1256,2169,116,-26
1865,3205,111,-45
1069,483,76,-50
1131,2682,107,27
2029,3236,118,-28
974,561,104,-56
1140,790,106,-43
1014,2718,111,-4
2769,3550,143,42
3088,-538,95,-22
1374,3878,138,14
1466,-41,70,-65
1903,3729,138,-34
1099,1433,93,-54
1153,378,103,-74
1959,2079,100,-21
1040,2671,121,3
1396,3292,163,-14
1330,877,92,-98
1927,3024,118,17
2353,427,111,-52
1068,2228,136,-6
1284,2163,97,-23
