laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
8814,10783,-14856,842
7500,3041,-9520,13
8007,2410,-3103,-17
8178,-963,-700,-51
8362,358,68,-94
7634,-128,-1344,-94
8051,-498,-234,-93
8201,-2604,74,-145
8621,-486,49,-52
7793,-723,69,-115
8149,-2287,32,-128
8192,-1275,70,-46
7642,-2375,29,-123
7870,254,152,-92
7831,-789,90,-105
8237,-2435,22,-123
8477,-1397,61,-139
8871,-435,77,-100
7772,-2163,54,-170
8292,-955,47,-91
7878,-1498,36,-115
7821,-2526,62,-163
8674,-587,74,-106
8114,-1792,50,-104
7962,-1240,49,-99
7702,-1238,15,-86
7761,-2238,76,-131
7743,-368,65,-78
7643,-1444,48,-91
8409,-2118,59,-149
8083,-2183,64,-120
7641,-509,-7,-128
8193,-2109,105,-85
7990,-2154,86,-125
7504,123,87,-54
7251,-1978,71,-102
8046,-1115,63,-95
8236,-1722,87,-125
7517,-2425,67,-103
7846,-17,85,-121
8346,-2644,88,-142
8048,-755,84,-87
7619,-2303,49,-91
8082,-1301,98,-119
7972,-1971,45,-97
4548,-1558,72,-103
5869,-1041,89,-68
4817,-1168,71,-83
5195,-1486,85,-109
5659,-1590,54,-95
6426,-1444,83,-84
5352,-1101,80,-90
5790,-1500,25,-102
5335,-1395,90,-94
5302,-1501,107,-109
4722,-1078,77,-116
4067,-1282,99,-112
4935,-1215,99,-97
5254,-1491,131,-94
5299,-1358,54,-77
4418,-1524,51,-96
4330,-1450,83,-84
4862,-1324,44,-98
6126,-1371,56,-132
5147,-1404,93,-88
5193,-1456,74,-60
5524,-1540,94,-113
5473,-1770,70,-136
6013,-2173,30,-120
6083,-1039,95,-129
6291,-1521,48,-104
6871,-1088,74,-116
5590,-1302,86,-106
5746,-1617,45,-116
5680,-1579,70,-84
5245,-1432,156,-203
5596,-1957,72,-122
5676,-1003,73,-53
4880,-1790,87,-118
5299,-1300,71,-115
4984,-1337,58,-94
5498,-1716,67,-142
5599,-1298,58,-103
5747,-1749,71,-110
4508,-1578,73,-102
6453,-1560,49,-123
5877,-1535,75,-113
5185,-1499,47,-133
6644,-1065,97,-120
4728,-1938,71,-96
4642,-1158,59,-101
5999,-1437,78,-166
3671,-2031,69,-93
5153,-1575,71,-117
5114,-1777,81,-105
4414,-522,75,-122
4256,-1790,81,-135
4976,-980,76,-85
3927,-1455,53,-88
5776,-1842,76,-101
4857,-1434,97,-105
4589,-1251,65,-88
2857,-1949,100,-146
4165,-873,70,-100
4176,-1921,51,-75
3130,-1311,80,-125
2234,-1667,11,-112
2902,-1479,90,-97
4253,-1455,98,-93
4683,-1166,499,-112
4445,-1962,111,-119
2792,-994,94,-109
2760,-2268,33,-152
3009,-1020,80,-126
5145,-1699,90,-83
4556,-1628,41,-166
3458,-1143,70,-152
5156,-1115,64,-63
5115,-1721,80,-109
3935,-1112,102,-87
4349,-2080,49,-100
3375,-1414,78,-103
4814,-1594,99,-74
2562,-1391,52,-74
5500,-1727,68,-128
8146,-1350,58,-115
3111,-1322,67,-107
7687,-1496,99,-101
7549,-1797,36,-122
6244,-1380,73,-108
6029,-1543,110,-123
4077,-1750,55,-122
