laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
6206,30596,-23697,6091
6824,29920,-14176,2553
7776,31673,-6666,1387
7772,31890,-1079,1070
8083,26778,31,789
8486,19501,-222,561
8211,2200,-948,-17
8547,982,-285,-42
8117,-259,217,-143
8318,-1079,-605,-103
8305,-2131,86,-88
8366,828,105,-62
8448,-582,61,-103
8325,-2448,30,-132
8163,-678,62,-100
8245,-3479,22,-106
8425,1195,144,-89
8051,-4267,7,-98
7733,1559,148,0
8517,-2690,37,-125
8039,-1777,58,-95
8223,734,82,-104
7994,-4839,43,-129
7597,2758,156,-50
7434,-4816,27,-186
8300,1565,144,-53
7951,-1334,59,-103
8033,-2727,54,-119
7811,681,120,-62
7793,-3287,27,-171
7852,585,92,-93
8447,-2600,15,-146
7491,-1711,57,-120
8027,-675,72,-66
8128,-2291,41,-130
8161,-815,89,-78
7495,-3241,42,-123
7639,1212,93,-43
6957,-1352,75,-69
7933,-2420,71,-125
7531,-416,106,-98
7104,-521,81,-115
7558,-2681,72,-110
7614,453,86,-89
7674,-2652,62,-129
7877,-2484,47,-110
7426,-427,59,-63
7486,-1609,65,-99
7622,-2046,70,-110
7459,-1768,32,-122
7543,-1074,62,-59
7170,-3279,82,-163
6858,74,99,-46
7600,-2655,69,-107
7452,-1506,40,-93
7284,-582,97,-88
8363,-2685,1,-151
7418,-1826,62,-103
8094,-600,48,-89
7380,-1673,61,-95
6799,-1489,78,-72
6363,-1133,121,-99
5735,-1479,79,-76
7064,-1149,77,-96
7209,-1362,94,-120
7227,-1279,76,-84
6072,-1473,72,-107
7226,-1739,80,-61
6069,-1503,70,-81
7571,-1925,67,-108
6919,-2084,58,-89
6445,-1922,77,-85
5781,-2354,65,-60
5109,-437,84,-97
4773,-1119,73,-104
5065,-1780,82,-112
7303,-1244,64,-98
6542,-1509,93,-66
6622,-1512,77,-99
5355,-1074,80,-78
5482,-1018,95,-92
7927,-1170,71,-91
7628,-1591,60,-92
6660,-1287,88,-106
6948,-1662,62,-109
5582,-1280,44,-94
5996,-1498,68,-123
7367,-1092,80,-97
5434,-1698,60,-90
5445,-1044,-641,-87
6285,-1713,86,-154
5924,-1509,99,-87
4926,-1270,103,-101
6692,-1213,91,-81
6101,-1387,84,-121
6031,-1383,1227,-107
4650,-819,66,-88
6460,-1523,84,-97
5594,-1165,62,-98
4400,-1996,71,-67
4819,-1579,68,-102
3499,-1651,64,-78
5132,-1753,66,-83
5011,-959,41,-96
6972,-1597,88,-85
4505,-1325,76,-78
4510,-1437,58,-97
4647,-1939,95,-83
4643,-1211,86,-96
5605,-1187,120,-76
5457,-1999,100,-94
4947,-1072,69,-69
4386,-1941,81,-65
3020,-1325,43,-112
2908,-1511,75,-86
5996,-1265,50,-83
3144,-1507,56,-82
5011,-722,99,-95
4546,-1999,69,-92
4213,-1270,72,-87
3671,-1699,93,-98
3333,-2117,47,-151
5166,-1053,74,-82
3839,-1590,66,-84
5895,-1385,64,-106
3700,-1416,104,-102
5442,-1523,55,-79
6379,-1247,-972,-84
5907,-2015,91,-83
5498,-1355,50,-74
3142,-2145,67,-88
5755,-1148,85,-127
4438,-1364,83,-69
