laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
8208,-7524,649,-1851
8898,-6674,742,-1827
7244,-8866,1045,-1761
8086,-11279,811,-1971
8062,-3332,610,-872
8146,-3529,-9,63
8365,-3167,62,-71
8285,-3242,51,-95
8237,-4055,37,-132
8093,-3481,42,-113
10675,-3495,56,-115
231,-3973,41,-119
39474,-3588,44,-152
129,-3764,51,-161
134,-4230,24,-147
232,-3515,19,-114
38937,-3768,62,-136
101,-4654,36,-146
233,-4139,-35,-186
111,-4003,22,-124
1176,-3867,31,-156
175,-4371,-7,-164
219,-4109,59,-169
186,-3333,-8,-167
168,-4322,574,-144
212,-3610,236,-152
42680,-4006,30,-131
42656,-4101,38,-166
42782,-4352,20,-191
169,-4207,56,-178
157,-3809,18,-147
201,-3939,54,-162
42655,-4527,30,-162
130,-3821,26,-143
166,-4699,85,-172
153,-3399,35,-126
173,-4226,23,-200
219,-4047,52,-173
122,-3834,41,-156
193,-4088,5,-176
46413,-4428,49,-168
122,-3896,59,-190
128,-4401,2,-194
11491,-4151,80,-139
6867,-3704,11,-189
3240,-4926,45,-163
7788,-4170,29,-142
6608,-3720,88,-143
3555,-4446,17,-170
7427,-4290,10,-169
7567,-3978,60,-143
SCAN 2 - Right to Left

7792,-3771,59,-144
8118,-1547,78,-131
7809,-475,67,-86
7139,3762,155,3
7511,4080,137,3
7727,3302,134,-15
8157,4913,159,6
7321,5985,140,49
7256,917,94,-45
8058,905,103,-32
6250,4530,131,-30
6031,5915,149,22
8577,5107,149,14
56,2330,113,-46
232,5186,158,25
42653,4115,143,15
202,5983,190,12
42623,3076,163,-8
42694,3987,156,-6
239,5250,164,12
72,2739,114,-25
195,3255,148,224
180,5182,159,50
60,3523,181,-19
99,3359,132,-55
174,5032,169,33
121,3895,143,-3
90,5676,156,61
213,3639,137,-15
113,2655,164,-37
237,4666,149,40
219,3128,122,14
187,4008,150,-29
207,4686,165,26
77,4460,147,9
74,3641,162,6
162,3963,115,-10
213,4337,155,43
1000,3977,157,26
1551,3630,147,12
172,4182,188,-11
153,4306,148,2
224,4407,192,22
135,3815,166,7
115,3813,120,7
125,4542,171,15
204,3960,155,21
81,3717,179,27
119,3644,140,2
3376,4235,153,251
8125,4065,166,25
8168,3379,186,-11
7697,4063,89,-32
8162,4324,114,35
7824,2990,128,-15
8093,3437,1
SCAN 3 - Left to Right
68,2
7310,3650,-870,-27
7998,2115,99,-52
8229,203,107,-70
7730,-3369,24,-157
8078,-3560,47,-105
7992,-4431,9,-175
8075,-4669,-3,-188
8145,-4754,9,-220
7662,-1321,88,-102
8059,-4315,54,-165
6519,-3714,25,-175
170,-3627,-1,-149
104,-4276,39,-149
65050,-3637,27,-173
159,-4164,-215,-175
118,-4178,4,-174
57,-4105,56,-167
236,-4028,10,-170
140,-4672,-8,-166
1595,-4493,6,-151
109,-3763,53,-90
160,-4661,-12,-158
203,-4441,30,-198
220,-4134,44,-151
124,-4331,-22,-136
170,-3874,27,-161
1091,-4619,329,-67
151,-4117,-45,-137
62,-4250,29,-132
104,-4122,16,-160
223,-4651,60,-174
241,-3243,40,-138
201,-4472,6,-102
132,-4199,44,-160
