laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
2190,31625,-13112,2029
172,29402,-3936,1404
104,32275,-3074,1039
66,30890,-1216,712
8512,26571,-396,633
7743,20232,355,418
8524,-3644,12,-135
9024,2350,209,-14
8090,-1890,67,-142
7971,-2491,18,-204
8225,24,-31,-54
8200,-4654,12,-169
8283,613,89,-34
7745,-1319,82,-154
8111,-1525,66,-74
7967,-1767,35,-165
8021,-2534,50,-155
7992,-725,74,-7
8307,-3814,24,-145
7699,-2661,53,-139
8664,-1383,62,-108
8813,-4076,36,-151
8066,302,120,-70
8460,-915,75,-126
7898,-2794,37,-96
7942,-2879,22,-89
116,-2578,81,-138
199,-1632,82,-44
124,-3471,39,-106
84,-742,105,-54
196,-1416,35,-107
74,-2683,85,-148
136,-2907,63,-175
213,-3264,59,-112
226,-129,92,-70
224,-1820,54,-102
216,-1861,53,-88
91,-2131,75,-116
50055,-2658,72,-157
120,-3260,37,-91
42616,-2690,78,-132
1059,-2328,81,-117
83,-2790,46,-128
38945,-2452,63,-124
1019,-2135,57,-109
148,-2633,42,-121
88,-977,83,-94
42550,-443,73,-76
172,-1818,93,-101
83,-1689,88,-88
236,-2119,58,-95
63,-2652,77,-125
3311,-2257,74,-129
153,-1830,59,-144
222,-2132,75,-64
239,-2433,68,-95
119,-2705,42,-100
218,-1876,62,-120
203,-2603,92,-123
142,-2327,26,-102
77,-2092,73,-113
146,-2272,71,-84
58,-2253,68,-156
233,-2133,49,-132
233,-2127,65,-124
233,-2424,39,-136
233,-1185,57,-110
170,-2324,74,-106
141,-2967,11,-131
103,-2102,40,-95
59,-1693,77,-100
59,-2824,87,-133
51033,-1496,55,-99
110,-2597,50,-142
182,-2828,44,-127
226,-1370,48,-77
133,-2520,94,-138
141,-1877,58,-112
161,-1932,44,-119
149,-2222,77,-97
188,-1630,87,-84
207,-1930,90,-96
113,-2535,68,-128
13986,-2659,72,-145
9637,-2587,37,-113
10345,-2055,58,-84
3696,-2150,610,-50
7187,-2116,54,-103
9014,-2011,40,-57
5229,-2647,79,-106
7328,-2511,45,-89
7574,-1640,74,-134
6789,-2231,79,-152
7451,-2478,51,-101
7971,-2632,45,-135
7446,-2378,238,-108
7272,-1853,57,-118
7268,-2002,106,-114
7578,-2222,64,-103
7317,-2560,54,-107
6420,-1912,80,-125
7498,-1582,75,-94
8097,-2848,68,-126
7929,-1567,89,-123
699
SCAN 2 - Right to Left
8,-1849,99,-101
8610,-908,72,-67
8187,-629,110,-34
8058,-534,119,-72
7847,252,93,-42
8222,1096,65,-54
7533,3272,151,2
7258,1196,90,-35
7736,4232,94,-5
7446,346,121,-51
5191,2573,134,-29
7889,2547,135,-72
8060,2852,133,-12
8100,-425,83,-68
7164,1739,103,-49
8447,2709,86,-57
7558,553,100,-34
7473,3685,146,-10
6925,1276,103,-50
6552,3500,158,-17
7369,-470,66,-56
7292,3974,127,-13
9339,-215,77,-31
5671,3591,118,-23
4992,36,94,-41
6872,1828,112,-49
7219,2758,105,-10
9421,3001,109,193
73,-1515,68,-90
112,2896,120,-10
160,2072,66,19
165,2514,130,-13
207,3125,131,-18
135,-177,93,-46
105,2968,123,-12
