laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
7580,30620,-13243,2508
106,28109,-6702,1153
123,31899,-504,971
7327,32574,-439,974
7726,28172,-948,674
8274,23272,230,566
7972,-2018,35,-25
8157,2807,127,-61
7709,-1488,71,-64
8874,-2985,74,-116
8067,-220,122,-61
8226,-1244,62,-119
7970,-622,-820,-64
8020,-2319,38,-121
8238,-424,88,-83
8289,-3209,26,-154
8833,-923,87,-81
8333,-873,97,-45
8262,-1959,42,-136
8320,-887,68,-55
9080,-1666,86,-121
7285,-2301,44,-97
7706,-2861,41,-129
7988,411,101,-27
8403,-3129,24,-111
7938,-445,83,-38
7253,-1623,49,-101
7063,-2197,51,-94
7276,-333,86,-67
7518,-3217,43,-155
8129,-835,102,-73
8123,-1074,82,-102
8840,-1491,99,-87
7597,-3,91,-62
7928,-2347,62,-136
8318,-789,87,-79
7548,-2493,20,-115
7468,-373,73,-80
7386,-3279,70,-105
7909,487,91,-49
8196,-1328,53,-121
8887,-2390,-628,-129
8234,77,294,-83
8164,-2921,49,-142
7003,-2139,70,-116
7855,-948,72,-62
6838,-3010,65,-159
7831,790,101,-45
6768,-2540,51,-113
7388,-1133,54,-78
6200,-2112,84,-119
6954,-1034,86,-115
6778,-2298,62,-76
6971,-1008,74,-54
6283,-1138,65,-74
6814,-2573,55,-97
6825,-1368,91,-79
6027,-223,515,-163
6922,-2221,99,-86
7260,-2068,57,-97
7048,-522,107,-40
7314,-872,95,-128
7421,-1980,89,-76
7859,-1046,58,-72
7454,-1256,72,-89
9381,-1412,69,-70
8288,-1585,45,-63
7689,-1623,68,-109
8098,-1709,69,-116
149,-2110,46,-101
163,-2093,62,-120
38899,-243,76,-91
174,-1447,50,-110
42727,-2254,48,-119
202,-1400,49,-99
85,-2059,43,-119
122,-291,87,-75
42600,-1303,54,-123
205,-2322,67,-82
55,192,84,-67
46467,-550,78,-57
58,-1196,86,-107
38989,-1292,96,-123
221,-1437,57,-97
5042,-1524,51,-81
200,-1495,96,-100
56,-1369,37,-94
66,-1066,65,-80
42681,-1065,76,-104
156,-1789,39,-107
38967,-1048,39,-118
124,-1542,63,-79
165,-1278,41,-118
119,-1211,42,-89
117,-1146,88,-109
138,-929,76,-88
61341,-1599,81,-124
42687,-1745,79,-89
71,-1080,76,-95
55,-1508,85,-118
150,-1554,76,-94
178,-1141,58,-102
178,-1848,74,-78
178,-1451,100,-108
178,-1808,38,-109
62,-918,89,-97
73,-1990,80,-104
113,-1054,67,-93
132,-1885,56,-59
223,-1971,101,-106
162,-1037,76,-93
95,-1233,43,-89
88,-1653,57,-106
208,-1124,76,-94
38944,-1687,44,-112
213,-1329,90,-102
1039,-1645,38,-112
2832,-1901,60,-111
7897,-1294,66,-69
8559,-1258,56,-100
6404,-1065,90,-117
6140,-1403,66,-124
5166,-1780,38,-101
3638,-2112,64,-97
9518,-917,39,-75
7668,-1595,83,-89
8161,-1260,65,-67
7224,-1490,57,-108
5151,-1571,72,-75
6165,-1809,10,-92
7036,-1264,67,-111
7712,-1756,73,-92
7648,-1245,74,-109
7050,-2037,66,-83
8193,-1409,72,-96
8006,-865,48,-84
8249,-1845,96,-131
